"Originale","Langues","Manuscrit /
imprimé ","Gothique /
romain","Prose
vers","Auteur
déclaré","Auteur","Fonction
déclarée","Type
auteur","Fait","Changement
titre","Titre","Titre de l’édition","Lieu","Pays","Lieu
fictif","Editeur","Editeur
normalisé","Éditeur
fictif","Date publication","Date
calculée","Ed.
partagée","Format","Privilège","Durée du
privilège","Table
nb de p.","Gravures","Nb
d’histoires","Paginé / folioté","Nb de pages","Genre nouvelle","Rire du
pouvoir","Rire des
mœurs","Rire de la
religion","Rire des
protestants","Bibliothèque","Cote","Numérisation","Traduction","Autres
Bibliothèques"
"oui","Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur",,,"Fables d'Ésope","Les Subtiles fables d'Esope, traduites par Julien Macho, Augustin et suivies de fables d'Avien, d'Alphonse et de Pogge","Lyon","France",,"Nicolaus Philippi et Marcus Reinhart",,,1480,"1480",,"folio","non",,,,,,"292","Nouvelles / fables / ",,,,,"BM Tours",,,,
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur","vu",,"Fables d'Ésope","Les Subtiles fables de Esope Translatees de latin en francoys. Par reverent docteur en theologie frereJulien des Augustins de Lyon avec les fables de Avian et de Alfonse. Et aussi aulcunes joyeuses fables de Poge florentin.","Lyon","France",,"Matthias Huss et Johann Schabeler",,,1484,"1484",,"folio","non",,"non","146",,"non numéroté","166","Nouvelles / fables / ",,,,,"Bnf","RES-YB-98","https://gallica.bnf.fr/ark:/12148/bpt6k1521499r","Latin",
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur",,,"Fables d'Ésope","Les Subtiles fables de Esope Translatees de latin en francoys. Par reverent docteur en theologie frereJulien des Augustins de Lyon avec les fables de Avian et de Alfonse. Et aussi aulcunes joyeuses fables de Poge florentin.","Lyon","France",,"Matthias Huss et Jean Numeister",,,"ca 1485","1485",,"folio","non",,,,,,"220","Nouvelles / fables / ",,,,,"Milano, Biblioteca Nazionale Braidense","AO.XVI.36",,,
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur",,,"Fables d'Ésope","Les Subtiles fables de Esope Translatees de latin en francoys. Par reverent docteur en theologie frereJulien des Augustins de Lyon avec les fables de Avian et de Alfonse. Et aussi aulcunes joyeuses fables de Poge florentin.","Lyon","France",,"Matthias Husz",,,1486,"1486",,"folio",,,,,,,"188","Nouvelles / fables / ",,,,,"Österreichische Nationalbibliothek","10-G-1",,,
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur",,,"Fables d'Ésope","Les subtilles fables de Esope avec celles de Avian, de Alfonce et de Poge Florentin","Lyon","France",,"[Michel Topié et Jacques Heremberck]",,,"ca 1490","1490",,"folio",,,,,,,"144","Nouvelles / fables / ",,,,,"British Library","G.7806",,,
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur",,,"Fables d'Ésope","Les Subtiles fables de Esope. Avec celles de avien. de Alfonce. et de Poge florentin. Avec plusieurs beaulx ditz mouraulx..","Lyon","France",,"[s. n.]","Pierre Mareschal / Barnabé Chaussard",,"ca 1498","1498",,"4",,,,,,,"156","Nouvelles / fables / ",,,,,"British Library","IB.41979",,,
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur","vu",,"Fables d'Ésope","Les Subtiles fables de Esope. Avec celles de avien. de Alfonce. et de Poge florentin. Avec plusieurs beaulx ditz mouraulx..","Lyon","France",,"Pierre Mareschal et Barnabé Chaussard","Pierre Mareschal / Barnabé Chaussard",,1499,"1499",,"4","non",,"non","109",,"non numéroté","154","Nouvelles / fables / ",,,,,"Bnf",,,"Latin",
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur",,,"Fables d'Ésope","Les Subtiles fables de Esope. Avec celles de avien. de Alfonce. et de Poge florentin. Avec plusieurs beaulx ditz mouraulx..","Lyon","France",,"Pierre Mareschal et Barnabé Chaussard","Pierre Mareschal / Barnabé Chaussard",,1502,"1502",,"4",,,,,,,,"Nouvelles / fables / ",,,,,"BM Lyon","A 492200",,,
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur","vu",,"Fables d'Ésope","Esopet en françoys. Avec les Fables de Avian delphonce. Et de poge florentin","Paris","France",,"veuve Jehan trepperel et Jehan Jehannot","Veuve Jean Trepperel / Jehan Jehannot",,"1515-1519","1519",,"4","non",,"non","95",,"non numéroté","150","Nouvelles / fables / ",,,,,"Bnf","RES P-YE-136","https://gallica.bnf.fr/ark:/12148/bpt6k704475","Latin",
,"Fr","imprimé","Gothique","prose","Julien Macho","Julien Macho","frère augustin docteur en théologie","Auteur",,,"Fables d'Ésope","Esopet en françoys. Avec les Fables de Avian delphonce. Et de poge florentin","Lyon","France",,"Claude Nourry et Pierre de Vingle","Claude Nourry / Pierre de Vingle",,1526,"1526",,"4",,,,,,,,"Nouvelles / fables / ",,,,,"Hamburg, Universitätsbibliothek","A/205591",,,
